Name,Birth Date,Birth Place,Death Date,Death Place,Birth Lat,Birth Lng,Birth Match,Death Lat,Death Lng,Death Match
"Byrnes, James Francis","May 2, 1882","Charleston, SC","April 9, 1972","Columbia, SC",32.7884363,-79.9399309,"Charleston, Charleston County, South Carolina, United States",34.000754,-81.0352313,"Columbia, Richland County, South Carolina, United States"
"Blatchford, Samuel M.","March 9, 1820","New York, NY","July 7, 1893","Newport, RI",40.7127281,-74.0060152,"New York, United States",41.4899827,-71.3137707,"Newport, Newport County, Rhode Island, 02840, United States"
"Sutherland, George","March 25, 1862","Buckinghamshire, England","July 18, 1942","Stockbridge, MA",51.840894,-0.8998074,"Buckinghamshire, England, United Kingdom",42.282398,-73.3123684,"Stockbridge, Berkshire County, Massachusetts, United States"
"Barrett, Amy Coney",1972,"New Orleans, LA",,,29.9561422,-90.0733934,"New Orleans, Orleans Parish, Louisiana, United States",,,
"Waite, Morrison Remick","November 29, 1816","Lyme, CT","March 23, 1888","Washington, DC",41.394496,-72.3510347,"Lyme, Lower Connecticut River Valley Planning Region, Connecticut, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Rutledge, John","September 18, 1739","Charleston, SC","June 21, 1800","Charleston, SC",32.7884363,-79.9399309,"Charleston, Charleston County, South Carolina, United States",32.7884363,-79.9399309,"Charleston, Charleston County, South Carolina, United States"
"Whittaker, Charles Evans",,,"November 26, 1973","Kansas City, MO",,,,39.100105,-94.5781416,"Kansas City, Jackson County, Missouri, United States"
"Burger, Warren Earl","September 17, 1907","St. Paul, MN","June 25, 1995","Alexandria, VA",44.9497487,-93.0931028,"Saint Paul, Ramsey County, Minnesota, United States",38.8051095,-77.0470229,"Alexandria, Virginia, United States"
"Powell, Lewis Franklin, Jr.","September 19, 1907","Suffolk, VA","August 25, 1998","Richmond, VA",36.7281341,-76.5834683,"Suffolk, Virginia, United States",37.5385087,-77.43428,"Richmond, Virginia, United States"
"Woods, William Burnham","August 3, 1824","Newark, OH","May 14, 1887","Washington, DC",40.0581205,-82.4012643,"Newark, Licking County, Ohio, 43055, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"McKinley, John","May 1, 1780","Culpeper County, VA","July 19, 1852","Louisville, KY",38.5030426,-78.0000677,"Culpeper County, Virginia, United States",38.2542376,-85.759407,"Louisville, Jefferson County, Kentucky, United States"
"McKenna, Joseph","August 10, 1843","Philadelphia, PA","November 21, 1926","Washington, DC",39.9527237,-75.1635262,"Philadelphia, Philadelphia County, Pennsylvania, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Scalia, Antonin","March 11, 1936","Trenton, NJ","February 13, 2016","Shafter, TX",40.2203074,-74.7659,"Trenton, Mercer County, New Jersey, United States",29.8173646,-104.3061281,"Shafter, Presidio County, Texas, United States"
"Minton, Sherman","October 20, 1890","Georgetown, IN","April 9, 1965","New Albany, IN",41.730797,-86.2265321,"Georgetown, Notre Dame, Saint Joseph County, Indiana, United States",38.2856247,-85.8241312,"New Albany, Floyd County, Indiana, 47150, United States"
"Reed, Stanley Forman","December 31, 1884","Minerva, KY","April 2, 1980","Huntington, NY",38.7053502,-83.9190929,"Minerva, Mason County, Kentucky, 41062, United States",40.868154,-73.425676,"Town of Huntington, Suffolk County, New York, United States"
"Lamar, Lucius Quintus Cincinnatus","September 17, 1825","Eatonton, GA","January 23, 1893","Macon, GA",33.3267128,-83.388485,"Eatonton, Putnam County, Georgia, 31024, United States",32.8406946,-83.6324022,"Macon, Bibb County, Georgia, United States"
"McLean, John","March 11, 1785","Morris County, NJ","April 4, 1861","Cincinnati, OH",40.8679538,-74.5601181,"Morris County, New Jersey, United States",39.1014537,-84.5124602,"Cincinnati, Hamilton County, Ohio, United States"
"Jackson, Howell Edmunds","April 8, 1832","Paris, TN","August 8, 1895","West Meade, TN",36.3019461,-88.3258578,"Paris, Henry County, West Tennessee, Tennessee, United States",36.1178363,-86.887223,"West Meade, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States"
"Marshall, Thurgood","July 2, 1908","Baltimore, MD","January 24, 1993","Washington, DC",39.2908816,-76.610759,"Baltimore, Maryland, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Bradley, Joseph P.","March 14, 1813","Berne, NY","January 22, 1892","Washington, DC",42.6253546,-74.1334647,"Town of Berne, Albany County, New York, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Miller, Samuel Freeman","April 5, 1816","Richmond, KY","October 13, 1890","Washington, DC",37.7478572,-84.2946539,"Richmond, Madison County, Kentucky, 40475, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Roberts, John Glover, Jr.",1955,"Buffalo, NY",,,42.8864163,-78.8781493,"Buffalo, Erie County, New York, United States",,,
"Shiras, George, Jr.","January 26, 1832","Pittsburgh, PA","August 2, 1924","Pittsburgh, PA",40.4406968,-80.0025666,"Pittsburgh, Allegheny County, Pennsylvania, United States",40.4406968,-80.0025666,"Pittsburgh, Allegheny County, Pennsylvania, United States"
"Strong, William","May 6, 1808","Somers, CT","August 19, 1895","Lake Minnewassa, NY",41.9855972,-72.4473979,"Somers, Capitol Planning Region, Connecticut, United States",,,
"Kagan, Elena",1960,"New York, NY",,,40.7127281,-74.0060152,"New York, United States",,,
"Harlan, John Marshall","June 1, 1833","Boyle County, KY","October 14, 1911","Washington, DC",37.6240938,-84.8540572,"Boyle County, Kentucky, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Taney, Roger Brooke","March 17, 1777","Calvert County, MD","October 12, 1864","Washington, DC",38.5288529,-76.537764,"Calvert County, Maryland, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Rutledge, Wiley Blount","July 20, 1894","Cloverport, KY","September 10, 1949","York, ME",37.8333902,-86.6327615,"Cloverport, Breckinridge County, Kentucky, 40111, United States",43.4229305,-70.6546639,"York County, Maine, United States"
"Daniel, Peter Vivian","April 24, 1784","Stafford County, VA","May 31, 1860","Richmond, VA",38.4167265,-77.4579783,"Stafford County, Virginia, United States",37.5385087,-77.43428,"Richmond, Virginia, United States"
"Cushing, William","March 1, 1732","Scituate, MA","September 13, 1810","Scituate, MA",42.1924492,-70.7261966,"Scituate, Plymouth County, Massachusetts, United States",42.1924492,-70.7261966,"Scituate, Plymouth County, Massachusetts, United States"
"Lamar, Joseph Rucker","October 14, 1857","Cedar Grove, GA","January 2, 1916","Washington, DC",33.6267771,-84.6874338,"Cedar Grove, Fulton County, Georgia, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Stevens, John Paul","April 20, 1920","Chicago, IL","July 16, 2019","Fort Lauderdale, FL",41.8755616,-87.6244212,"Chicago, South Chicago Township, Cook County, Illinois, United States",26.1223084,-80.1433786,"Fort Lauderdale, Broward County, Florida, United States"
"Kennedy, Anthony McLeod",1936,"Sacramento, CA",,,38.5810606,-121.493895,"Sacramento, Sacramento County, California, United States",,,
"Catron, John",1786,PA,"May 30, 1865","Nashville, TN",8.559559,-81.1308434,Panamá,36.1622767,-86.7742984,"Nashville, Davidson County, Middle Tennessee, Tennessee, United States"
"Trimble, Robert","November 17, 1776","Augusta County, VA","August 25, 1828","Paris, KY",38.1793809,-79.1525761,"Augusta County, Virginia, United States",38.2132087,-84.2492072,"Paris, Bourbon County, Kentucky, United States"
"Barbour, Philip Pendleton","May 25, 1783","Orange County, VA","February 25, 1841","Washington, DC",38.2490349,-78.013983,"Orange County, Virginia, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Washington, Bushrod","June 5, 1762","Westmoreland County, VA","November 26, 1829","Philadelphia, PA",38.1153203,-76.7567355,"Westmoreland County, Virginia, United States",39.9527237,-75.1635262,"Philadelphia, Philadelphia County, Pennsylvania, United States"
"Lurton, Horace Harmon","February 26, 1844","Newport, KY","July 12, 1914","Atlantic City, NJ",39.0889469,-84.4919524,"Newport, Campbell County, Kentucky, 41071, United States",39.3642852,-74.4229351,"Atlantic City, Atlantic County, New Jersey, United States"
"Jay, John","December 12, 1745","New York, NY","May 17, 1829","Bedford, NY",40.7127281,-74.0060152,"New York, United States",41.2041304,-73.642509,"Town of Bedford, Westchester County, New York, United States"
"Day, William Rufus","April 17, 1849","Ravenna, OH","July 9, 1923","Mackinac Island, MI",41.157557,-81.242047,"Ravenna, Portage County, Ohio, 44266, United States",45.84907,-84.6198572,"Mackinac Island, Mackinac County, Michigan, 49757, United States"
"Goldberg, Arthur Joseph","August 8, 1908","Chicago, IL","January 19, 1990","Washington, DC",41.8755616,-87.6244212,"Chicago, South Chicago Township, Cook County, Illinois, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Clifford, Nathan","August 18, 1803","Rumney, NH","July 25, 1881","Cornish, ME",43.8045189,-71.8130772,"Rumney, Grafton County, New Hampshire, 03266, United States",43.804801,-70.801392,"Cornish, York County, Maine, 04020, United States"
"Stewart, Potter","January 23, 1915","Jackson, MI","December 7, 1985","Hanover, NH",42.2416466,-84.425589,"Jackson County, Michigan, United States",43.7023545,-72.2892164,"Hanover, Grafton County, New Hampshire, United States"
"Gray, Horace","March 24, 1828","Boston, MA","September 15, 1902","Nahant, MA",42.3588336,-71.0578303,"Boston, Suffolk County, Massachusetts, United States",42.4264859,-70.9189371,"Nahant, Essex County, Massachusetts, United States"
"White, Edward Douglass","November 3, 1845","Lafourche Parish, LA","May 19, 1921","Washington, DC",29.5820155,-90.3964889,"Lafourche Parish, Louisiana, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Butler, Pierce","March 17, 1866","Dakota County, MN","November 16, 1939","Washington, DC",44.666655,-93.044911,"Dakota County, Minnesota, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Blackmun, Harry Andrew","November 12, 1908","Nashville, IL","March 4, 1999","Arlington, VA",38.3434906,-89.3809783,"Nashville, Washington County, Illinois, 62263, United States",38.8769326,-77.0893094,"Arlington County, Virginia, United States"
"Story, Joseph","September 18, 1779","Marblehead, MA","September 10, 1845","Cambridge, MA",42.500096,-70.8578253,"Marblehead, Essex County, Massachusetts, 01945, United States",42.3656347,-71.1040018,"Cambridge, Middlesex County, Massachusetts, United States"
"Johnson, William, Jr.","December 27, 1771","St. James Goose Creek, SC","August 4, 1834","Brooklyn, NY",32.9754799,-80.0326489,"St. James Church, 100, Vestry Lane, The Oaks, Goose Creek, Berkeley County, South Carolina, 29445, United States",40.6526006,-73.9497211,"Brooklyn, Kings County, New York, United States"
"Gorsuch, Neil M.",1967,"Denver, CO",,,39.7392364,-104.984862,"Denver, Colorado, United States",,,
"Sanford, Edward Terry","July 23, 1865","Knoxville, TN","March 8, 1930","Washington, DC",35.9603948,-83.9210261,"Knoxville, Knox County, East Tennessee, Tennessee, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Thomas, Clarence",1948,"Savannah, GA",,,32.0790074,-81.0921335,"Savannah, Chatham County, Georgia, United States",,,
"Iredell, James","October 5, 1751","Lewes, England","October 20, 1799","Edenton, NC",50.8746139,0.0051153,"Lewes, East Sussex, England, United Kingdom",36.057938,-76.6077213,"Edenton, Chowan County, North Carolina, 27932, United States"
"O'Connor, Sandra Day","March 26, 1930","El Paso, TX","December 1, 2023","Phoenix, AZ",31.7601001,-106.4870476,"El Paso, El Paso County, Texas, United States",33.4484367,-112.074141,"Phoenix, Maricopa County, Arizona, United States"
"Wilson, James","September 14, 1742","Carskerdo, Scotland","August 21, 1798","Edenton, NC",56.2607326,-2.9814532,"Carskerdo, Fife, Alba / Scotland, United Kingdom",36.057938,-76.6077213,"Edenton, Chowan County, North Carolina, 27932, United States"
"Curtis, Benjamin Robbins","November 4, 1809","Watertown, MA","September 15, 1874","Newport, RI",42.3652576,-71.1843234,"Watertown, Middlesex County, Massachusetts, United States",41.4899827,-71.3137707,"Newport, Newport County, Rhode Island, 02840, United States"
"Fuller, Melville Weston","February 11, 1833","Augusta, ME","July 4, 1910","Sorrento, ME",44.3148027,-69.7743945,"Augusta, Kennebec County, Maine, 04330, United States",44.4734117,-68.1772341,"Sorrento, Hancock County, Maine, 04677, United States"
"Black, Hugo Lafayette","February 27, 1886","Clay County, AL","September 25, 1971","Bethesda, MD",33.2423393,-85.819651,"Clay County, Alabama, United States",38.9812726,-77.1233587,"Bethesda, Montgomery County, Maryland, United States"
"Swayne, Noah Haynes","December 7, 1804","Frederick County, VA","June 8, 1884","New York, NY",39.2127031,-78.279166,"Frederick County, Virginia, United States",40.7127281,-74.0060152,"New York, United States"
"Hunt, Ward","June 14, 1810","Utica, NY","March 24, 1886","Washington, DC",43.1009031,-75.2326641,"City of Utica, Oneida County, New York, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Matthews, Stanley","July 21, 1824","Cincinnati, OH","March 22, 1889","Washington, DC",39.1014537,-84.5124602,"Cincinnati, Hamilton County, Ohio, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Douglas, William Orville","October 16, 1898","Maine, MN","January 19, 1980","Bethesda, MD",46.412182,-95.8172718,"Maine Township, Otter Tail County, Minnesota, United States",38.9812726,-77.1233587,"Bethesda, Montgomery County, Maryland, United States"
"Paterson, William","December 24, 1745","County Antrim, Ireland","September 9, 1806","Albany, NY",54.8647255,-6.1436379,"County Antrim, Northern Ireland / Tuaisceart Éireann, United Kingdom",42.6511674,-73.754968,"City of Albany, Albany County, New York, United States"
"Todd, Thomas","January 23, 1765","King and Queen County, VA","February 7, 1826","Frankfort, KY",37.7196754,-76.8794158,"King and Queen County, Virginia, United States",38.2009055,-84.8732836,"Frankfort, Franklin County, Kentucky, United States"
"Alito, Samuel A., Jr.",1950,"Trenton, NJ",,,40.2203074,-74.7659,"Trenton, Mercer County, New Jersey, United States",,,
"Souter, David Hackett","September 17, 1939","Melrose, MA","May 8, 2025","Concord, NH",42.4564323,-71.064182,"Melrose, Middlesex County, Massachusetts, 02176, United States",43.207178,-71.537476,"Concord, Merrimack County, New Hampshire, United States"
"Brewer, David Josiah","June 20, 1837","Smyrna , Asia Minor","March 28, 1910","Washington, DC",,,,38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Breyer, Stephen Gerald",1938,"San Francisco, CA",,,37.7879363,-122.4075201,"San Francisco, California, United States",,,
"Thompson, Smith","January 17, 1768","Amenia, NY","December 18, 1843","Poughkeepsie, NY",41.8495129,-73.5573194,"Town of Amenia, Dutchess County, New York, United States",41.7065539,-73.9283672,"City of Poughkeepsie, Dutchess County, New York, 12601, United States"
"Brennan, William Joseph, Jr.","April 25, 1906","Newark, NJ","July 24, 1997","Arlington, VA",40.735657,-74.1723667,"Newark, Essex County, New Jersey, United States",38.8769326,-77.0893094,"Arlington County, Virginia, United States"
"Field, Stephen Johnson","November 4, 1816","Haddam, CT","April 9, 1899","Washington, DC",41.4803384,-72.5160604,"Haddam, Lower Connecticut River Valley Planning Region, Connecticut, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Jackson, Robert Houghwout","February 13, 1892","Spring Creek, PA","October 9, 1954","Washington, DC",40.2519131,-76.8441904,"Spring Creek, Oberlin, Swatara Township, Dauphin County, Pennsylvania, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"McReynolds, James Clark","February 3, 1862","Elkton, KY","August 24, 1946","Washington, DC",36.8100425,-87.1541675,"Elkton, Todd County, Kentucky, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Wayne, James Moore",1790,"Savannah, GA","July 5, 1867","Washington, DC",32.0790074,-81.0921335,"Savannah, Chatham County, Georgia, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Chase, Salmon Portland","January 13, 1808","Cornish, NH","May 7, 1873","New York, NY",43.4646175,-72.3689049,"Cornish, Sullivan County, New Hampshire, United States",40.7127281,-74.0060152,"New York, United States"
"Clark, Tom C.","September 23, 1899","Dallas, TX","June 13, 1977","New York, NY",32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States",40.7127281,-74.0060152,"New York, United States"
"Johnson, Thomas","November 4, 1732","Calvert County, MD","October 26, 1819","Frederick, MD",38.5288529,-76.537764,"Calvert County, Maryland, United States",39.415779,-77.4127562,"Frederick, Frederick County, Maryland, 21709, United States"
"Marshall, John","September 24, 1755","Prince William County, VA","July 6, 1835","Philadelphia, PA",38.7389846,-77.5536743,"Prince William County, Virginia, United States",39.9527237,-75.1635262,"Philadelphia, Philadelphia County, Pennsylvania, United States"
"Burton, Harold Hitz","June 22, 1888","Jamaica Plain, MA","October 28, 1964","Washington, DC",42.3116046,-71.1143838,"Jamaica Plain, Boston, Suffolk County, Massachusetts, 02130, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Grier, Robert Cooper","March 5, 1794","Cumberland County, PA","September 25, 1870","Philadelphia, PA",40.1541581,-77.2803933,"Cumberland County, Pennsylvania, United States",39.9527237,-75.1635262,"Philadelphia, Philadelphia County, Pennsylvania, United States"
"Sotomayor, Sonia",1954,"Bronx, NY",,,40.8466508,-73.8785937,"The Bronx, Bronx County, New York, United States",,,
"Murphy, Frank","April 13, 1890","Sand Beach, MI","July 19, 1949","Detroit, MI",42.1982622,-84.2293417,"Sand Beach, Sandbeach, Grass Lake Charter Township, Jackson County, Michigan, 49240, United States",42.3315509,-83.0466403,"Detroit, Wayne County, Michigan, United States"
"Moody, William Henry","December 23, 1853","Newbury, MA","July 2, 1917","Haverhill, MA",42.7664975,-70.8458022,"Newbury, Essex County, Massachusetts, United States",42.7777829,-71.0767724,"Haverhill, Essex County, Massachusetts, United States"
"Fortas, Abe","June 19, 1910","Memphis, TN","April 5, 1982","Washington, DC",35.1460249,-90.0517638,"Memphis, Shelby County, West Tennessee, Tennessee, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Roberts, Owen Josephus","May 2, 1875","Philadelphia, PA","May 17, 1955","West Vincent Township, PA",39.9527237,-75.1635262,"Philadelphia, Philadelphia County, Pennsylvania, United States",40.1229113,-75.6468405,"West Vincent Township, Chester County, Pennsylvania, United States"
"Moore, Alfred","May 21, 1755","New Hanover County, NC","October 15, 1810","Bladen County, NC",34.2751052,-77.8818627,"New Hanover County, North Carolina, United States",34.627971,-78.5627714,"Bladen County, North Carolina, United States"
"Cardozo, Benjamin Nathan","May 24, 1870","New York, NY","July 9, 1938","Port Chester, Long Island, NY",40.7127281,-74.0060152,"New York, United States",,,
"Pitney, Mahlon","February 5, 1858","Morristown, NJ","December 9, 1924","Washington, DC",40.7970382,-74.4809868,"Morristown, Morris County, New Jersey, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Kavanaugh, Brett M.",1965,"Washington, DC",,,38.8950982,-77.0363849,"Washington, District of Columbia, United States",,,
"Frankfurter, Felix","November 15, 1882","Vienna, Austria-Hungary","February 22, 1965","Washington, DC",,,,38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"White, Byron Raymond","June 8, 1917","Fort Collins, CO","April 15, 2002","Denver, CO",40.5871782,-105.0770113,"Fort Collins, Larimer County, Colorado, United States",39.7392364,-104.984862,"Denver, Colorado, United States"
"Holmes, Oliver Wendell, Jr.","March 8, 1841","Boston, MA","March 6, 1935","Washington, DC",42.3588336,-71.0578303,"Boston, Suffolk County, Massachusetts, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Ginsburg, Ruth Bader","March 15, 1933","Brooklyn, NY","September 18, 2020","Washington, DC",40.6526006,-73.9497211,"Brooklyn, Kings County, New York, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Vinson, Frederick Moore","January 22, 1890","Louisa, KY","September 8, 1953","Washington, DC",38.1144867,-82.6030988,"Louisa, Lawrence County, Kentucky, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Rehnquist, William Hubbs","October 1, 1924","Milwaukee, WI","September 3, 2005","Arlington, VA",43.0386475,-87.9090751,"Milwaukee, Milwaukee County, Wisconsin, United States",38.8769326,-77.0893094,"Arlington County, Virginia, United States"
"Clarke, John Hessin","September 18, 1857","New Lisbon, OH","March 22, 1945","San Diego, CA",40.7975972,-81.0946617,"New Franklin Christian Academy, Lisbon Street Northeast, New Franklin, Paris Township, Stark County, Ohio, United States",32.7174202,-117.162772,"San Diego, San Diego County, California, United States"
"Brandeis, Louis Dembitz","November 13, 1856","Louisville, KY","October 5, 1941","Washington, DC",38.2542376,-85.759407,"Louisville, Jefferson County, Kentucky, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Nelson, Samuel","November 10, 1792","Hebron, NY","December 13, 1873","Cooperstown, NY",43.287778,-73.334167,"Town of Hebron, Washington County, New York, United States",42.7006303,-74.924321,"Village of Cooperstown, Town of Otsego, Otsego County, New York, United States"
"Duvall, Gabriel","December 6, 1752","Prince George`s County, MD","March 6, 1844","Prince George`s County, MD",38.803929,-76.8518695,"Prince George's County, Maryland, United States",38.803929,-76.8518695,"Prince George's County, Maryland, United States"
"Livingston, Henry Brockholst","November 25, 1757","New York, NY","March 18, 1823","Washington, DC",40.7127281,-74.0060152,"New York, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Davis, David","March 9, 1815","Cecil County, MD","June 26, 1886","Bloomington, IL",39.5729428,-75.9381806,"Cecil County, Maryland, United States",40.4797828,-88.9939147,"Bloomington, McLean County, Illinois, United States"
"Baldwin, Henry","January 14, 1780","New Haven, CT","April 21, 1844","Philadelphia, PA",41.3082138,-72.9250518,"New Haven, South Central Connecticut Planning Region, Connecticut, United States",39.9527237,-75.1635262,"Philadelphia, Philadelphia County, Pennsylvania, United States"
