Name,Birth Date,Birth Place,Death Date,Death Place
"Trimble, Robert","November 17, 1776","Augusta County, VA","August 25, 1828","Paris, KY"
"Barbour, Philip Pendleton","May 25, 1783","Orange County, VA","February 25, 1841","Washington, DC"
"Washington, Bushrod","June 5, 1762","Westmoreland County, VA","November 26, 1829","Philadelphia, PA"
"Lurton, Horace Harmon","February 26, 1844","Newport, KY","July 12, 1914","Atlantic City, NJ"
"Jay, John","December 12, 1745","New York, NY","May 17, 1829","Bedford, NY"
"Day, William Rufus","April 17, 1849","Ravenna, OH","July 9, 1923","Mackinac Island, MI"
"Goldberg, Arthur Joseph","August 8, 1908","Chicago, IL","January 19, 1990","Washington, DC"
"Clifford, Nathan","August 18, 1803","Rumney, NH","July 25, 1881","Cornish, ME"
"Stewart, Potter","January 23, 1915","Jackson, MI","December 7, 1985","Hanover, NH"
"Gray, Horace","March 24, 1828","Boston, MA","September 15, 1902","Nahant, MA"
"White, Edward Douglass","November 3, 1845","Lafourche Parish, LA","May 19, 1921","Washington, DC"
"Butler, Pierce","March 17, 1866","Dakota County, MN","November 16, 1939","Washington, DC"
"Blackmun, Harry Andrew","November 12, 1908","Nashville, IL","March 4, 1999","Arlington, VA"
"Story, Joseph","September 18, 1779","Marblehead, MA","September 10, 1845","Cambridge, MA"
"Johnson, William, Jr.","December 27, 1771","St. James Goose Creek, SC","August 4, 1834","Brooklyn, NY"
"Gorsuch, Neil M.",1967,"Denver, CO",,
"Sanford, Edward Terry","July 23, 1865","Knoxville, TN","March 8, 1930","Washington, DC"
"Thomas, Clarence",1948,"Savannah, GA",,
"Iredell, James","October 5, 1751","Lewes, England","October 20, 1799","Edenton, NC"
"O'Connor, Sandra Day","March 26, 1930","El Paso, TX","December 1, 2023","Phoenix, AZ"
"Wilson, James","September 14, 1742","Carskerdo, Scotland","August 21, 1798","Edenton, NC"
"Curtis, Benjamin Robbins","November 4, 1809","Watertown, MA","September 15, 1874","Newport, RI"
"Fuller, Melville Weston","February 11, 1833","Augusta, ME","July 4, 1910","Sorrento, ME"
"Black, Hugo Lafayette","February 27, 1886","Clay County, AL","September 25, 1971","Bethesda, MD"
"Swayne, Noah Haynes","December 7, 1804","Frederick County, VA","June 8, 1884","New York, NY"
"Hunt, Ward","June 14, 1810","Utica, NY","March 24, 1886","Washington, DC"
"Matthews, Stanley","July 21, 1824","Cincinnati, OH","March 22, 1889","Washington, DC"
"Douglas, William Orville","October 16, 1898","Maine, MN","January 19, 1980","Bethesda, MD"
"Paterson, William","December 24, 1745","County Antrim, Ireland","September 9, 1806","Albany, NY"
"Todd, Thomas","January 23, 1765","King and Queen County, VA","February 7, 1826","Frankfort, KY"
"Alito, Samuel A., Jr.",1950,"Trenton, NJ",,
"Souter, David Hackett","September 17, 1939","Melrose, MA","May 8, 2025","Concord, NH"
"Brewer, David Josiah","June 20, 1837","Smyrna , Asia Minor","March 28, 1910","Washington, DC"
"Breyer, Stephen Gerald",1938,"San Francisco, CA",,
"Thompson, Smith","January 17, 1768","Amenia, NY","December 18, 1843","Poughkeepsie, NY"
"Brennan, William Joseph, Jr.","April 25, 1906","Newark, NJ","July 24, 1997","Arlington, VA"
"Field, Stephen Johnson","November 4, 1816","Haddam, CT","April 9, 1899","Washington, DC"
"Jackson, Robert Houghwout","February 13, 1892","Spring Creek, PA","October 9, 1954","Washington, DC"
"McReynolds, James Clark","February 3, 1862","Elkton, KY","August 24, 1946","Washington, DC"
"Wayne, James Moore",1790,"Savannah, GA","July 5, 1867","Washington, DC"
"Chase, Salmon Portland","January 13, 1808","Cornish, NH","May 7, 1873","New York, NY"
"Clark, Tom C.","September 23, 1899","Dallas, TX","June 13, 1977","New York, NY"
"Johnson, Thomas","November 4, 1732","Calvert County, MD","October 26, 1819","Frederick, MD"
"Marshall, John","September 24, 1755","Prince William County, VA","July 6, 1835","Philadelphia, PA"
"Burton, Harold Hitz","June 22, 1888","Jamaica Plain, MA","October 28, 1964","Washington, DC"
"Grier, Robert Cooper","March 5, 1794","Cumberland County, PA","September 25, 1870","Philadelphia, PA"
"Sotomayor, Sonia",1954,"Bronx, NY",,
"Murphy, Frank","April 13, 1890","Sand Beach, MI","July 19, 1949","Detroit, MI"
"Moody, William Henry","December 23, 1853","Newbury, MA","July 2, 1917","Haverhill, MA"
"Fortas, Abe","June 19, 1910","Memphis, TN","April 5, 1982","Washington, DC"
"Roberts, Owen Josephus","May 2, 1875","Philadelphia, PA","May 17, 1955","West Vincent Township, PA"
"Moore, Alfred","May 21, 1755","New Hanover County, NC","October 15, 1810","Bladen County, NC"
"Cardozo, Benjamin Nathan","May 24, 1870","New York, NY","July 9, 1938","Port Chester, Long Island, NY"
"Pitney, Mahlon","February 5, 1858","Morristown, NJ","December 9, 1924","Washington, DC"
"Kavanaugh, Brett M.",1965,"Washington, DC",,
"Frankfurter, Felix","November 15, 1882","Vienna, Austria-Hungary","February 22, 1965","Washington, DC"
"White, Byron Raymond","June 8, 1917","Fort Collins, CO","April 15, 2002","Denver, CO"
"Holmes, Oliver Wendell, Jr.","March 8, 1841","Boston, MA","March 6, 1935","Washington, DC"
"Ginsburg, Ruth Bader","March 15, 1933","Brooklyn, NY","September 18, 2020","Washington, DC"
"Vinson, Frederick Moore","January 22, 1890","Louisa, KY","September 8, 1953","Washington, DC"
"Rehnquist, William Hubbs","October 1, 1924","Milwaukee, WI","September 3, 2005","Arlington, VA"
"Clarke, John Hessin","September 18, 1857","New Lisbon, OH","March 22, 1945","San Diego, CA"
"Brandeis, Louis Dembitz","November 13, 1856","Louisville, KY","October 5, 1941","Washington, DC"
"Nelson, Samuel","November 10, 1792","Hebron, NY","December 13, 1873","Cooperstown, NY"
"Duvall, Gabriel","December 6, 1752","Prince George`s County, MD","March 6, 1844","Prince George`s County, MD"
"Livingston, Henry Brockholst","November 25, 1757","New York, NY","March 18, 1823","Washington, DC"
"Davis, David","March 9, 1815","Cecil County, MD","June 26, 1886","Bloomington, IL"
"Baldwin, Henry","January 14, 1780","New Haven, CT","April 21, 1844","Philadelphia, PA"
